ATTRACTIONID,FOODID,DISTANCE
8,164,19.538
8,165,23.909
8,166,13.78
8,167,20.665
8,168,23.267
8,169,4.871
8,170,16.917
8,171,23.216
8,172,17.809
8,173,14.453
8,174,23.33
8,175,17.985
5,176,16.702
5,177,14.55
5,178,14.55
5,179,14.459
5,180,15.248
5,181,17.956
5,182,5.773
5,183,19.407
5,184,19.407
5,185,19.578
5,186,27.831
5,187,23.294
5,188,7.754
5,189,7.754
5,190,3.903
5,191,18.972
5,192,2.141
5,193,1.555
5,194,28.833
5,195,22.297
5,196,6.361
5,197,19.548
5,198,19.251
5,199,7.209
5,200,22.437
6,176,13.986
6,177,20.667
6,178,20.667
6,179,21.658
6,180,23.262
6,181,12.171
6,182,2.704
6,183,13.621
6,184,13.621
6,185,26.691
6,186,25.016
6,187,20.579
6,188,14.306
6,189,14.306
6,190,3.157
6,191,13.187
6,192,6.229
6,193,4.833
6,194,26.118
6,195,25.654
6,196,3.437
6,197,13.763
6,198,13.465
6,199,4.004
6,200,18.757
7,176,28.595
7,177,8.34
7,178,8.34
7,179,8.249
7,180,9.038
7,181,26.78
7,182,16.998
7,183,28.23
7,184,28.23
7,185,13.577
7,186,21.83
7,187,29.199
7,188,3.303
7,189,3.303
7,190,15.21
7,191,27.796
7,192,11.11
7,193,10.524
7,194,27.04
7,195,16.296
7,196,15.185
7,197,28.372
7,198,28.074
7,199,17.877
7,200,31.26
8,176,17.316
8,177,14.51
8,178,14.51
8,179,14.419
8,180,15.208
8,181,17.895
8,182,6.387
8,183,20.399
8,184,20.399
8,185,19.538
8,186,30.695
8,187,23.909
8,188,7.714
8,189,7.714
8,190,5.156
8,191,19.965
8,192,1.216
8,193,1.287
8,194,29.448
8,195,22.257
8,196,4.286
8,197,21.729
8,198,21.431
8,199,7.824
8,200,23.429
5,201,21.905
5,202,3.801
5,203,7.747
5,204,7.389
5,205,26.331
5,206,5.992
5,207,27.21
5,208,18.172
5,209,27.143
5,210,13.941
5,211,22.801
5,212,19.602
5,213,25.94
